"End","count"
"2023-02-02 13:19:33.0","2776"
"2023-02-02 13:19:34.0","5012"
"2023-02-02 13:19:35.0","5328"
"2023-02-02 13:19:36.0","5509"
"2023-02-02 13:19:37.0","5469"
"2023-02-02 13:19:38.0","5490"
"2023-02-02 13:19:39.0","5461"
"2023-02-02 13:19:40.0","5257"
"2023-02-02 13:19:41.0","4998"
"2023-02-02 13:19:42.0","5029"
"2023-02-02 13:19:43.0","5121"
"2023-02-02 13:19:44.0","4936"
"2023-02-02 13:19:45.0","5094"
"2023-02-02 13:19:46.0","5361"
"2023-02-02 13:19:47.0","5377"
"2023-02-02 13:19:48.0","5230"
"2023-02-02 13:19:49.0","5160"
"2023-02-02 13:19:50.0","5168"
"2023-02-02 13:19:51.0","5064"
"2023-02-02 13:19:52.0","5193"
"2023-02-02 13:19:53.0","5183"
"2023-02-02 13:19:54.0","5170"
"2023-02-02 13:19:55.0","5255"
"2023-02-02 13:19:56.0","5293"
"2023-02-02 13:19:57.0","5315"
"2023-02-02 13:19:58.0","5207"
"2023-02-02 13:19:59.0","5204"
"2023-02-02 13:20:00.0","5115"
"2023-02-02 13:20:01.0","5117"
"2023-02-02 13:20:02.0","5167"
"2023-02-02 13:20:03.0","5206"
"2023-02-02 13:20:04.0","5209"
"2023-02-02 13:20:05.0","5119"
"2023-02-02 13:20:06.0","5183"
"2023-02-02 13:20:07.0","5196"
"2023-02-02 13:20:08.0","5160"
"2023-02-02 13:20:09.0","5202"
"2023-02-02 13:20:10.0","5200"
"2023-02-02 13:20:11.0","5354"
"2023-02-02 13:20:12.0","4960"
"2023-02-02 13:20:13.0","5265"
"2023-02-02 13:20:14.0","5216"
"2023-02-02 13:20:15.0","5214"
"2023-02-02 13:20:16.0","5206"
"2023-02-02 13:20:17.0","5256"
"2023-02-02 13:20:18.0","5096"
"2023-02-02 13:20:19.0","5257"
"2023-02-02 13:20:20.0","5209"
"2023-02-02 13:20:21.0","5147"
"2023-02-02 13:20:22.0","5181"
"2023-02-02 13:20:23.0","5141"
"2023-02-02 13:20:24.0","5220"
"2023-02-02 13:20:25.0","5285"
"2023-02-02 13:20:26.0","5263"
"2023-02-02 13:20:27.0","5046"
"2023-02-02 13:20:28.0","5207"
"2023-02-02 13:20:29.0","5074"
"2023-02-02 13:20:30.0","4950"
"2023-02-02 13:20:31.0","5172"
"2023-02-02 13:20:32.0","5237"
"2023-02-02 13:20:33.0","5219"
"2023-02-02 13:20:34.0","5271"
"2023-02-02 13:20:35.0","5127"
"2023-02-02 13:20:36.0","5170"
"2023-02-02 13:20:37.0","5269"
"2023-02-02 13:20:38.0","5186"
"2023-02-02 13:20:39.0","5139"
"2023-02-02 13:20:40.0","5183"
"2023-02-02 13:20:41.0","5216"
"2023-02-02 13:20:42.0","5180"
"2023-02-02 13:20:43.0","5317"
"2023-02-02 13:20:44.0","5212"
"2023-02-02 13:20:45.0","5151"
"2023-02-02 13:20:46.0","5203"
"2023-02-02 13:20:47.0","5391"
"2023-02-02 13:20:48.0","5059"
"2023-02-02 13:20:49.0","5242"
"2023-02-02 13:20:50.0","5203"
"2023-02-02 13:20:51.0","5171"
"2023-02-02 13:20:52.0","5179"
"2023-02-02 13:20:53.0","5289"
"2023-02-02 13:20:54.0","5178"
"2023-02-02 13:20:55.0","5201"
"2023-02-02 13:20:56.0","5252"
"2023-02-02 13:20:57.0","5035"
"2023-02-02 13:20:58.0","5049"
"2023-02-02 13:20:59.0","5061"
"2023-02-02 13:21:00.0","5242"
"2023-02-02 13:21:01.0","5328"
"2023-02-02 13:21:02.0","4956"
"2023-02-02 13:21:03.0","5230"
"2023-02-02 13:21:04.0","5202"
"2023-02-02 13:21:05.0","5305"
"2023-02-02 13:21:06.0","5303"
"2023-02-02 13:21:07.0","5308"
"2023-02-02 13:21:08.0","5109"
"2023-02-02 13:21:09.0","2985"
"2023-02-02 13:21:10.0","375"
"2023-02-02 13:21:11.0","14"
