"End","count"
"2023-02-01 23:57:48.0","147"
"2023-02-01 23:57:49.0","816"
"2023-02-01 23:57:50.0","827"
"2023-02-01 23:57:51.0","844"
"2023-02-01 23:57:52.0","840"
"2023-02-01 23:57:53.0","834"
"2023-02-01 23:57:54.0","838"
"2023-02-01 23:57:55.0","793"
"2023-02-01 23:57:56.0","838"
"2023-02-01 23:57:57.0","833"
"2023-02-01 23:57:58.0","819"
"2023-02-01 23:57:59.0","837"
"2023-02-01 23:58:00.0","829"
"2023-02-01 23:58:01.0","785"
"2023-02-01 23:58:02.0","822"
"2023-02-01 23:58:03.0","828"
"2023-02-01 23:58:04.0","780"
"2023-02-01 23:58:05.0","842"
"2023-02-01 23:58:06.0","876"
"2023-02-01 23:58:07.0","840"
"2023-02-01 23:58:08.0","811"
"2023-02-01 23:58:09.0","804"
"2023-02-01 23:58:10.0","858"
"2023-02-01 23:58:11.0","847"
"2023-02-01 23:58:12.0","910"
"2023-02-01 23:58:13.0","881"
"2023-02-01 23:58:14.0","890"
"2023-02-01 23:58:15.0","845"
"2023-02-01 23:58:16.0","838"
"2023-02-01 23:58:17.0","824"
"2023-02-01 23:58:18.0","857"
"2023-02-01 23:58:19.0","875"
"2023-02-01 23:58:20.0","851"
"2023-02-01 23:58:21.0","817"
"2023-02-01 23:58:22.0","842"
"2023-02-01 23:58:23.0","857"
"2023-02-01 23:58:24.0","847"
"2023-02-01 23:58:25.0","822"
"2023-02-01 23:58:26.0","839"
"2023-02-01 23:58:27.0","839"
"2023-02-01 23:58:28.0","857"
"2023-02-01 23:58:29.0","876"
"2023-02-01 23:58:30.0","852"
"2023-02-01 23:58:31.0","860"
"2023-02-01 23:58:32.0","852"
"2023-02-01 23:58:33.0","872"
"2023-02-01 23:58:34.0","874"
"2023-02-01 23:58:35.0","878"
"2023-02-01 23:58:36.0","866"
"2023-02-01 23:58:37.0","842"
"2023-02-01 23:58:38.0","881"
"2023-02-01 23:58:39.0","839"
"2023-02-01 23:58:40.0","859"
"2023-02-01 23:58:41.0","865"
"2023-02-01 23:58:42.0","807"
"2023-02-01 23:58:43.0","843"
"2023-02-01 23:58:44.0","805"
"2023-02-01 23:58:45.0","838"
"2023-02-01 23:58:46.0","836"
"2023-02-01 23:58:47.0","837"
"2023-02-01 23:58:48.0","793"
"2023-02-01 23:58:49.0","846"
"2023-02-01 23:58:50.0","844"
"2023-02-01 23:58:51.0","862"
"2023-02-01 23:58:52.0","884"
"2023-02-01 23:58:53.0","877"
"2023-02-01 23:58:54.0","828"
"2023-02-01 23:58:55.0","835"
"2023-02-01 23:58:56.0","802"
"2023-02-01 23:58:57.0","829"
"2023-02-01 23:58:58.0","755"
"2023-02-01 23:58:59.0","864"
"2023-02-01 23:59:00.0","871"
"2023-02-01 23:59:01.0","841"
"2023-02-01 23:59:02.0","825"
"2023-02-01 23:59:03.0","803"
"2023-02-01 23:59:04.0","848"
"2023-02-01 23:59:05.0","831"
"2023-02-01 23:59:06.0","866"
"2023-02-01 23:59:07.0","787"
"2023-02-01 23:59:08.0","831"
"2023-02-01 23:59:09.0","798"
"2023-02-01 23:59:10.0","827"
"2023-02-01 23:59:11.0","844"
"2023-02-01 23:59:12.0","883"
"2023-02-01 23:59:13.0","826"
"2023-02-01 23:59:14.0","839"
"2023-02-01 23:59:15.0","825"
"2023-02-01 23:59:16.0","820"
"2023-02-01 23:59:17.0","818"
"2023-02-01 23:59:18.0","841"
"2023-02-01 23:59:19.0","824"
"2023-02-01 23:59:20.0","841"
"2023-02-01 23:59:21.0","858"
"2023-02-01 23:59:22.0","821"
"2023-02-01 23:59:23.0","672"
"2023-02-01 23:59:24.0","733"
"2023-02-01 23:59:25.0","866"
"2023-02-01 23:59:26.0","818"
"2023-02-01 23:59:27.0","857"
"2023-02-01 23:59:28.0","834"
"2023-02-01 23:59:29.0","838"
"2023-02-01 23:59:30.0","858"
"2023-02-01 23:59:31.0","841"
"2023-02-01 23:59:32.0","862"
"2023-02-01 23:59:33.0","808"
"2023-02-01 23:59:34.0","813"
"2023-02-01 23:59:35.0","861"
"2023-02-01 23:59:36.0","879"
"2023-02-01 23:59:37.0","835"
"2023-02-01 23:59:38.0","879"
"2023-02-01 23:59:39.0","876"
"2023-02-01 23:59:40.0","891"
"2023-02-01 23:59:41.0","877"
"2023-02-01 23:59:42.0","833"
"2023-02-01 23:59:43.0","816"
"2023-02-01 23:59:44.0","834"
"2023-02-01 23:59:45.0","887"
"2023-02-01 23:59:46.0","895"
"2023-02-01 23:59:47.0","680"
"2023-02-01 23:59:48.0","109"
